Index,processed_text
330,rt usersahusknt meet rahul bjp
331,usercapturethecrown hashtag help help hashtag music happy
332,hashtag youtube hashtag tv9 exclusive bjp minister watch porn karnataka assembly
333,"bjp really upset terror remark , shud sue shinde . else posture ."
334,"number seat vote share close percent shd bjp focus number . impossible . like namo , bjp shd aim high ."
335,bjp put namo forefront articulate vision garner support . bjp know bully pulpit ?
336,last budget session election . bjp shd start build election session
337,"believe gadkari take kushwaha gamble , bjp might well last election ."
338,"bjp big enemy time hesitation . say position form govt , namo pm"
339,"usercalmgalin still able understand number seat come nda , bjp contest afgan pak"
340,userwildflowercases ? cherryblossom skull
341,"national mood headline today , bjp ."
342,look like model except get little
343,"bjp troll rejoice survey number city number people , also fool like party leader . hashtag fake pay survey hashtag"
344,mood nation survey ndtv ctrl h find bjp replace congress . usermediacrooks
345,change dp indian flag .
346,bjp shd seriously thnkng secular ally hashtag 2014 election hashtag thy really want form govt . pic via hashtag fb hashtag
347,"pride word , freedom body , indian , champion . happy republic day ."
348,cover photo
349,truth . repeat
350,happy republic day . ! repeat
351,"hate kid 2 nd amendment , liberals hate baby problem abortion ."
352,watch grudge number
353,"kick rss monkey gadkari bjp , lk adavani undisputed leader bjp fit pm post number poll ."
354,"even poodle nehru clan national leader , atalji bjp leader ! congress !"
355,kalam reveals nuke test first ask narashimha rao congress govt . vajpayee jewel crown . bjp congress
356,"cm applaud congress mp sardinha number speak truth mopa , jt venture rule bjp opposition congress become clear ?"
357,"apology usersushmaswarajbjp ji able meet today due health dad . grace god , fine ."
358,"must focus basic issue india like unemployment , health , sanitation , education , poverty , housing food . usersushmaswarajbjp"
359,lk advani help p . chidambram manage raid gadkari throw away rss monkey gadkari bjp back gain freedom bjp .
360,usercalmgalin usergsurya userchidambaram1 userprassingh hindustan time report rss bjp involvement number sikh riot
361,poll show bjp ally would defeat congress today
362,poll show bjp ally would defeat congress today
363,ordinary member bjp . please send query relate big thing usersushmaswarajbjp usernarendramodi usersmritiirani others .
364,outsource government work . good long run .
365,"even bring million reform , unless implement , use ."
366,change want see say mahatma gandhi . good luck good bye .
367,wish could enter active politics personal issue hold back want injustice . usersushmaswarajbjp
368,post number photo facebook album janasampark abiyan bicholim
369,like mind youth country must take charge educate people curse thing .
370,"future country lie hand student youth . integrity fear , home ."
371,"c people dog cat pet . issue . see hungry people , blood boil . life bad dog ?"
372,"day retired teacher become min education , retire service person become defence minister retired police person hm , . repeat"
373,one rape wake country . let u allow one really shake u . must proactive . community patrolling area .
374,patriotism self defence teach 1 st class . make people patriotic also help username .
375,shri narendra modi unanimously elect leader bjp legislature party
376,shinde rss implant congress antagonize hindu congress help bjp
377,sign apocalypse ? rt useruniformswag userzipsmbb unis sport twitter username back
378,intrest bjp
379,good luck boy basketball team como ! bjp
380,hashtag youtube hashtag minister treat public resource private property ? congress bjp
381,"hashtag youtube hashtag mallya write kingfisher employee , promise salary date newsx congress bjp"
382,blissful life loneliness betrayal . repeat struggle pain complimentary . repeat thanks bhaggu
383,nice know hashtag gadkari hashtag tail leg ! need hashtag humble hashtag guy ! bjp hashtag go hashtag
384,rajnath become president bjp . repeat meet narendra modi yesterday . repeat hope nw modi gvn responsibility number . repeat happy
385,"decent training session tonight , nice surprise see userfranleighton6 big al ! also , secure extra hour training !"
386,congress bjp think box leadership issue ? time india congress . repeat bjp wink
