datetime,Retweets,Likes,bertweet_score,cardiff_score,vader_score,
25-01-2013 07:12,6,3,0.992207021,0.694093108,0.8454,
25-01-2013 09:36,0,0,0.526374098,0.466701899,0.5,
25-01-2013 12:00,0,0,0.506786266,0.470383946,0.5386,
25-01-2013 14:24,5,3,0.027715653,0.425157189,0.88915,
25-01-2013 16:48,0,0,0.51774204,0.497044891,0.5386,
25-01-2013 19:12,2,1,0.497788194,0.425094403,0.1656,
25-01-2013 21:36,0,0,0.747213319,0.663793504,0.88585,
26-01-2013 00:00,0,0,0.589611463,0.529836074,0.7787,
26-01-2013 02:24,0,0,0.499339638,0.484636711,0.5,
26-01-2013 04:48,0,0,0.549165923,0.704230919,0.7202,
26-01-2013 07:12,0,0,0.137557924,0.711374834,0.818,
26-01-2013 09:36,1,0,0.670464158,0.502855822,0.9035,
26-01-2013 12:00,37,6,0.436625242,0.563580438,0.92405,
26-01-2013 14:24,0,0,0.059155047,0.271091223,0.7553,
26-01-2013 16:48,1,0,0.030812055,0.167624056,0.29905,
26-01-2013 19:12,0,0,0.050128132,0.307280332,0.436,
26-01-2013 21:36,0,0,0.474807251,0.438926298,0.61315,
27-01-2013 00:00,0,0,0.504227514,0.445368253,0.5,
27-01-2013 02:24,2,1,0.865569949,0.61915192,0.6122,
27-01-2013 04:48,0,0,0.51774204,0.497044891,0.5386,
27-01-2013 07:12,0,0,0.089783341,0.061827034,0.082,
27-01-2013 09:36,1,0,0.496631381,0.289516091,0.625,
27-01-2013 12:00,0,0,0.516346222,0.484142035,0.869,
27-01-2013 14:24,0,0,0.022855967,0.216537237,0.3643,
27-01-2013 16:48,0,0,0.508077428,0.484751154,0.5386,
27-01-2013 19:12,1,0,0.39351391,0.414430156,0.78595,
27-01-2013 21:36,2,3,0.511259917,0.50793116,0.5,
28-01-2013 00:00,0,0,0.014991641,0.201757163,0.60115,
28-01-2013 02:24,1,1,0.014498323,0.119593352,0.375,
28-01-2013 04:48,2,1,0.699538812,0.539368894,0.6909,
28-01-2013 07:12,0,0,0.015853047,0.11339581,0.37595,
